#wavelength, flux
1.005500000000000000e+04,6.238999999999999600e-20
1.007900000000000000e+04,2.008000000000000096e-20
1.010300000000000000e+04,2.386999999999999858e-20
1.012700000000000000e+04,2.877000000000000176e-20
1.015100000000000000e+04,3.205000000000000096e-21
1.017500000000000000e+04,4.727000000000000202e-20
1.019900000000000000e+04,3.630000000000000136e-20
1.022300000000000000e+04,1.151000000000000023e-20
1.024700000000000000e+04,-2.013999999999999874e-20
1.027100000000000000e+04,-2.205000000000000075e-20
1.029500000000000000e+04,6.528999999999999598e-20
1.031900000000000000e+04,6.392999999999999417e-20
1.034300000000000000e+04,1.499999999999999963e-19
1.036700000000000000e+04,1.427999999999999980e-19
1.039100000000000000e+04,-1.318000000000000060e-20
1.041500000000000000e+04,3.306000000000000093e-20
1.043900000000000000e+04,7.510999999999999457e-20
1.046300000000000000e+04,-2.360000000000000105e-20
1.048700000000000000e+04,5.308000000000000110e-20
1.051100000000000000e+04,6.208000000000000497e-20
1.053500000000000000e+04,8.666000000000000486e-20
1.055900000000000000e+04,-5.302999999999999944e-20
1.058300000000000000e+04,-7.533000000000000549e-21
1.060700000000000000e+04,-2.230999999999999915e-20
1.063100000000000000e+04,4.749000000000000090e-20
1.065500000000000000e+04,1.698000000000000036e-19
1.067900000000000000e+04,9.710999999999999788e-19
1.070300000000000000e+04,1.901999999999999971e-18
1.072700000000000000e+04,1.031999999999999978e-18
1.075100000000000000e+04,2.474999999999999830e-19
1.077500000000000000e+04,3.859000000000000204e-22
1.079900000000000000e+04,2.457999999999999988e-20
1.082300000000000000e+04,2.668000000000000038e-20
1.084700000000000000e+04,2.274000000000000079e-20
1.087100000000000000e+04,1.932000000000000100e-20
1.089500000000000000e+04,-3.145000000000000286e-20
1.091900000000000000e+04,-6.793999999999999970e-20
1.094300000000000000e+04,5.177000000000000095e-20
1.096700000000000000e+04,3.050000000000000141e-20
1.099100000000000000e+04,1.320000000000000036e-20
1.101500000000000000e+04,-7.474999999999999887e-21
1.103900000000000000e+04,-2.406999999999999920e-20
1.106300000000000000e+04,3.473999999999999893e-20
1.108700000000000000e+04,4.750999999999999916e-20
1.111100000000000000e+04,4.895999999999999914e-20
1.113500000000000000e+04,5.387999999999999757e-20
1.115900000000000000e+04,-4.657000000000000286e-20
1.118300000000000000e+04,2.302999999999999958e-20
1.120700000000000000e+04,2.154999999999999920e-20
1.123100000000000000e+04,5.100000000000000187e-20
1.125500000000000000e+04,4.285000000000000214e-20
1.127900000000000000e+04,3.094000000000000218e-22
1.130300000000000000e+04,2.788000000000000110e-20
1.132700000000000000e+04,4.016000000000000191e-20
1.135100000000000000e+04,-1.576000000000000063e-21
1.137500000000000000e+04,-2.393999999999999850e-20
1.139900000000000000e+04,3.347000000000000130e-20
1.142300000000000000e+04,2.044999999999999880e-20
1.144700000000000000e+04,-4.631999999999999757e-21
1.147100000000000000e+04,5.906999999999999653e-20
1.149500000000000000e+04,-7.618999999999999973e-21
1.151900000000000000e+04,2.630999999999999954e-20
1.154300000000000000e+04,-8.289000000000000248e-21
1.156700000000000000e+04,1.299999999999999974e-20
1.159100000000000000e+04,4.008000000000000287e-20
1.161500000000000000e+04,-1.925000000000000109e-20
1.163900000000000000e+04,1.598000000000000026e-20
1.166300000000000000e+04,-2.081000000000000052e-20
1.168700000000000000e+04,-1.570999999999999973e-20
1.171100000000000000e+04,-2.927000000000000030e-20
1.173500000000000000e+04,1.149000000000000047e-20
1.175900000000000000e+04,-1.333999999999999982e-21
1.178300000000000000e+04,4.107000000000000083e-20
1.180700000000000000e+04,-4.156999999999999937e-20
1.183100000000000000e+04,2.505000000000000104e-20
1.185500000000000000e+04,4.327000000000000164e-20
1.187900000000000000e+04,2.671999999999999991e-20
1.190300000000000000e+04,-1.251999999999999945e-20
1.192700000000000000e+04,-1.701999999999999988e-20
1.195100000000000000e+04,2.157999999999999960e-20
1.197500000000000000e+04,7.763000000000000360e-20
1.199900000000000000e+04,2.865999999999999931e-20
1.202300000000000000e+04,-1.753999999999999969e-20
1.204700000000000000e+04,-2.983999999999999876e-20
1.207100000000000000e+04,1.158000000000000014e-20
1.209500000000000000e+04,1.805000000000000037e-20
1.211900000000000000e+04,3.097000000000000257e-20
1.214300000000000000e+04,-2.202999999999999949e-20
1.216700000000000000e+04,4.476999999999999727e-20
1.219100000000000000e+04,-4.135999999999999962e-20
1.221500000000000000e+04,-2.547999999999999967e-20
1.223900000000000000e+04,6.192999999999999999e-21
1.226300000000000000e+04,-4.254999999999999820e-20
1.228700000000000000e+04,1.028999999999999975e-19
1.231100000000000000e+04,-1.006999999999999937e-20
1.233500000000000000e+04,-4.384000000000000010e-20
1.235900000000000000e+04,3.719000000000000202e-20
